UNIUSDT,C98USDT,UNIUSDT_perc,C98USDT_perc,spread,zscore
4.19,0.4937,1.0,1.0,-3.7719053040531048,
4.296,0.5185,1.0252983293556086,1.0502329349807573,-4.065855175514552,
4.773,0.5297,1.139140811455847,1.0729187765849704,-3.7694776981100464,
4.981,0.5112,1.1887828162291167,1.0354466275065828,-3.2631279956085617,
5.62,0.5362,1.341288782816229,1.0860846668017015,-3.0273032692592166,
5.47,0.5439,1.305489260143198,1.101681182904598,-3.301481253543618,
5.62,0.5423,1.341288782816229,1.0984403483897103,-3.125678036029975,
5.6,0.5086,1.3365155131264914,1.0301802714198907,-2.602197767148896,
5.33,0.5011,1.2720763723150357,1.014988859631355,-2.7512451850536976,
4.92,0.4759,1.1742243436754176,0.9639457160218755,-2.7548445092138394,
5.114,0.4708,1.220525059665871,0.9536155560056714,-2.4785967533891062,
5.004,0.4674,1.194272076372315,0.9467287826615353,-2.5337649161726175,
4.857,0.4619,1.1591885441527445,0.9355884140166092,-2.5920663559694734,
4.917,0.4757,1.1735083532219568,0.9635406117075147,-2.7546191070246353,
4.916,0.4745,1.1732696897374701,0.9611099858213489,-2.7362666938894025,
5.347,0.4935,1.2761336515513126,0.999594895685639,-2.6116799018638996,
5.302,0.4834,1.2653937947494032,0.9791371278104111,-2.4937970913090366,
5.347,0.5098,1.2761336515513126,1.0326108973060564,-2.8745501802841256,
5.73,0.5207,1.3675417661097853,1.054689082438728,-2.6673345995958115,
5.788,0.5103,1.3813842482100238,1.0336236580919587,-2.4416136857571384,
6.456,0.5212,1.5408114558472554,1.0557018432246303,-1.9493981050688243,1.827314779499373
6.228,0.4923,1.4863961813842481,0.9971642697994734,-1.711327488728669,2.0276129611619784
5.562,0.4535,1.3274463007159905,0.9185740328134494,-1.7515994640228545,1.8874230590353258
5.534,0.4404,1.3207637231503577,0.8920397002228073,-1.5683356206299122,2.0917878910781376
6.118,0.4528,1.460143198090692,0.9171561677131861,-1.1843105563606358,2.3843681873702764
7.011,0.463,1.6732696897374701,0.9378164877455945,-0.45580606801010326,2.780861338258219
6.779,0.4732,1.6178997613365154,0.9584768077780028,-0.8523015796595699,1.9215235933931063
7.37,0.4788,1.7589498806682575,0.9698197285801093,-0.3516128409573156,2.1950372235783444
6.941,0.479,1.6565632458233888,0.9702248328944703,-0.783838243146521,1.469220105010056
7.332,0.52,1.7498806682577563,1.0532712173384646,-1.0540456919335925,1.0411294000056255
7.338,0.5521,1.7513126491646778,1.118290459793397,-1.5657227433010314,0.37637965206082413
6.849,0.5,1.6346062052505965,1.0127607859023697,-1.2145054730130695,0.7284964360671368
7.216,0.4952,1.722195704057279,1.003038282357707,-0.770095820472144,1.146575514121094
6.886,0.4747,1.6434367541766108,0.9615150901357099,-0.7694920960786087,1.0427717767734483
6.961,0.4905,1.6613365155131263,0.9935183309702248,-0.9492988690258208,0.7508181007577845
7.243,0.4835,1.7286396181384247,0.9793396799675915,-0.5544097924036375,1.1346838001859296
7.039,0.435,1.6799522673031024,0.8811018837350617,0.02375023847862945,1.6701578212205472
6.654,0.4347,1.588066825775656,0.8804942272635202,-0.3564116582375627,1.1021647041467473
8.032,0.4694,1.916945107398568,0.9507798258051448,0.4619810619353304,1.9655942618896736
9.283,0.4988,2.2155131264916466,1.0103301600162042,1.2388469401221602,2.519358229042859
9.074,0.4956,2.16563245823389,1.003848490986429,1.0814533751494455,2.0726856102722104
8.772,0.5077,2.0935560859188542,1.0283573020052663,0.5843165427025294,1.366499887889394
8.324,0.5032,1.9866348448687348,1.0192424549321448,0.20888809195964697,0.8480145485118832
8.362,0.4976,1.9957040572792362,1.0078995341300383,0.33719935325739314,0.9173010899326962
8.25,0.4805,1.9689737470167064,0.9732631152521773,0.5009712404344402,1.027429215788235
8.901,0.4741,2.124343675417661,0.960299777192627,1.2551841104890071,1.7447127948102692
8.82,0.5681,2.1050119331742243,1.1506988049422726,-0.34175491843745043,-0.19042172784098588
8.962,0.5965,2.13890214797136,1.2082236175815273,-0.6577620293045925,-0.5887070380685657
8.771,0.5696,2.0933174224343674,1.1537370872999797,-0.41494543485648805,-0.28860415256318356
8.781,0.5885,2.095704057279236,1.1920194450070893,-0.709745941736383,-0.6541535590942175
8.785,0.579,2.0966587112171835,1.172776990074944,-0.5525393377491348,-0.5034245396145094
8.435,0.5171,2.013126491646778,1.047397204780231,0.0957226398098836,0.2290013391330815
9.216,0.5459,2.199522673031026,1.1057322260482074,0.41226472456432894,0.5904312312817165
8.962,0.5519,2.13890214797136,1.1178853554790358,0.06150265888817508,0.02405273561471525
9.205,0.5585,2.1968973747016705,1.131253797852947,0.19806438664440051,0.16674419970842594
8.99,0.5584,2.1455847255369926,1.1310512456957666,-0.015322912260996802,-0.25511587056643176
8.876,0.5342,2.118377088305489,1.0820336236580919,0.2609507526328354,0.15039683665772333
8.466,0.5231,2.0205250596658706,1.0595503342110593,0.029960574133726325,-0.25380917341608317
8.335,0.5047,1.9892601431980907,1.0222807372898521,0.19569757554060807,-0.010330736237884768
7.953,0.47,1.898090692124105,0.9519951387482276,0.3733048553677154,0.31589439021037
7.572,0.4359,1.807159904534606,0.882924853149686,0.542235928627206,0.7399852340822721
6.897,0.4001,1.6460620525059666,0.8104111808790764,0.4445829204949421,0.6596363571128729
6.995,0.408,1.66945107398568,0.8264128012963337,0.4151795340213358,0.6231747678659298
7.205,0.4263,1.7195704057279235,0.8634798460603605,0.3300552337090563,0.42582398967181667
6.979,0.4013,1.6656324582338902,0.812841806765242,0.5072305073597105,0.7796823120871922
7.111,0.4082,1.6971360381861573,0.8268179056106947,0.5279541318321295,0.8190468161199436
7.043,0.4098,1.68090692124105,0.8300587401255823,0.4341509143184883,0.8208321634881159
7.027,0.4232,1.67708830548926,0.8572007291877658,0.20204896764173785,0.18962312294945075
6.154,0.3884,1.4687350835322195,0.7867125784889609,-0.10973105143655282,-0.7445928129314481
6.052,0.3745,1.4443914081145584,0.758557828640875,0.012434400713210003,-0.48830636810575856
5.736,0.3676,1.3689737470167063,0.7445817297954223,-0.1922892237592091,-1.4126540384042439
6.339,0.4221,1.512887828162291,0.8549726554587805,-0.468211320317633,-2.5247992481550754
6.169,0.4298,1.4723150357995225,0.8705691715616771,-0.7623893046020358,-2.7270735444072587
6.14,0.4389,1.4653937947494031,0.8890014178651002,-0.9381451042108733,-2.5276809878535023
6.312,0.427,1.5064439140811454,0.8648977111606238,-0.5742336739531613,-1.4739838326617947
6.404,0.4364,1.5284009546539379,0.8839376139355883,-0.6338275768458077,-1.438383440094675
6.307,0.4415,1.505250596658711,0.8942677739517926,-0.8130753326705404,-1.6210327064591374
6.478,0.434,1.5460620525059663,0.879076362163257,-0.5211227505753451,-0.9412398756063691
6.579,0.43,1.5701670644391406,0.870974275876038,-0.35561470679123985,-0.5712112135561339
5.827,0.388,1.3906921241050119,0.785902369860239,-0.4302802470581426,-0.6567415043844296
6.114,0.4025,1.4591885441527446,0.8152724326514077,-0.37712190577552196,-0.49023262180997024
6.172,0.399,1.473031026252983,0.8081831071500911,-0.2626773674644305,-0.19467193880663372
6.505,0.4522,1.552505966587112,0.9159408547701032,-0.78763434979302,-1.1804791229610887
6.671,0.443,1.592124105011933,0.8973060563094997,-0.4732658490895796,-0.4475063463783186
6.49,0.4438,1.548926014319809,0.8989264735669433,-0.6671674578464,-0.7958314550119452
6.655,0.4441,1.5883054892601431,0.8995341300384848,-0.5070055611302084,-0.353956790224382
6.031,0.4013,1.439379474940334,0.812841806765242,-0.44076949264028986,-0.08268860413923435
6.181,0.4052,1.4751789976133651,0.8207413408952805,-0.3536648353297913,0.3447417123674587
5.888,0.3912,1.405250596658711,0.7923840388900141,-0.4208866820854258,0.24863035998786961
5.825,0.4408,1.3902147971360381,0.8928499088515293,-1.2837864250083229,-2.671371380846861
6.019,0.451,1.4365155131264915,0.9135102288839376,-1.2542819366577893,-2.2526226444997377
5.469,0.3855,1.3052505966587111,0.7808385659307271,-0.7479627196930769,-0.4501434932528497
5.476,0.392,1.3069212410501192,0.794004456147458,-0.8457882908422469,-0.7321652428895234
5.296,0.3716,1.263961813842482,0.7526838160826412,-0.696797267543313,-0.21270685067773254
5.337,0.3562,1.2737470167064437,0.7214907838768483,-0.4074412989745113,0.7450584774815125
5.733,0.385,1.3682577565632457,0.7798258051448248,-0.475899214220064,0.4761891117851086
5.909,0.3694,1.4102625298329354,0.7482276686246708,-0.04831784346205659,1.7602785480400904
5.795,0.362,1.3830548926014319,0.7332388089933157,-0.04297796246146213,1.5703915799093744
5.656,0.353,1.3498806682577564,0.7150091148470731,-0.03683486394722735,1.4332702335674574
5.921,0.361,1.413126491646778,0.7312132874215109,0.09914904848456452,1.6511232677410157
6.375,0.3494,1.5214797136038185,0.707717237188576,0.7402223754584671,2.618050340190269
6.558,0.3486,1.5651551312649163,0.7060968199311323,0.9361239842152873,2.4239682060163763
6.377,0.357,1.5219570405727922,0.7231112011342921,0.6196570922686684,1.6369286781156758
6.465,0.3613,1.542959427207637,0.7318209438930524,0.6383109452007556,1.4834870959868642
6.403,0.3593,1.5281622911694508,0.7277699007494429,0.6085649670928079,1.2937956673501638
6.26,0.3543,1.4940334128878279,0.7176422928904193,0.5462000218229388,1.0852372131026446
6.632,0.3666,1.582816229116945,0.7425562082236175,0.7198377871868171,1.220833590485693
6.692,0.372,1.5971360381861575,0.7534940247113632,0.6927519280782759,1.0737730816748958
6.811,0.366,1.6255369928400953,0.7413408952805347,0.9085139937544326,1.2512322691479396
6.871,0.3603,1.6398568019093078,0.7297954223212477,1.0604379561467825,1.3140973757211405
6.79,0.3591,1.620525059665871,0.7273647964350819,0.9987903692820135,1.1536198589260123
6.511,0.354,1.5539379474940334,0.7170346364188778,0.8020381251067468,0.8169707488570224
6.628,0.358,1.5818615751789975,0.7251367227060967,0.8545300813226424,0.8263775726284714
6.388,0.3435,1.5245823389021478,0.6957666599149281,0.8483717400400206,0.7577791300351866
5.994,0.3554,1.4305489260143196,0.7198703666194044,0.26246030978230994,-0.4928961367257701
6.059,0.3397,1.4460620525059664,0.6880696779420701,0.5806543816349201,0.10063403441237785
6.135,0.3255,1.4642004773269688,0.6593072716224427,0.8856579370684914,0.8012311519171198
6.283,0.324,1.4995226730310263,0.6562689892647356,1.057848453487531,1.2101852880149808
