hot,pvalue,cointegration_value,critical_value,hedge_ratio,zero_crossings,coin1,coin2
True,0.036,-3.465551807214703,-3.3670063137294513,4.722017276545861,43,JSTUSDT,10000NFTUSDT
True,0.002,-4.434863739377201,-3.3670063137294513,0.03034270117731187,43,ANTUSDT,LTCUSDT
True,0.0,-5.610350794722349,-3.3670063137294513,0.010911636584252453,42,AKROUSDT,AGLDUSDT
True,0.001,-4.632603612480387,-3.3670063137294513,9.564759852550782,40,ALPHAUSDT,ACHUSDT
True,0.002,-4.402805302312746,-3.3670063137294513,0.007518476888880654,37,1000BTTUSDT,REQUSDT
True,0.045,-3.3784043132532133,-3.3670063137294513,0.003632308243908029,37,1000BTTUSDT,ONTUSDT
True,0.001,-4.514945522834324,-3.3670063137294513,21.79630764443513,37,IOTAUSDT,ACHUSDT
True,0.014,-3.788315385566165,-3.3670063137294513,0.47360157666873315,36,ALPHAUSDT,BAKEUSDT
True,0.046,-3.370039614992566,-3.367163129272523,0.2756194159956931,36,SHIB1000USDT,1000XECUSDT
True,0.01,-3.8965663664952825,-3.367163129272523,10576.919409046699,36,BCHUSDT,SHIB1000USDT
True,0.0,-6.0610647164975475,-3.3670063137294513,0.9722457395946863,35,STXUSDT,AGLDUSDT
True,0.045,-3.376883970576848,-3.3670063137294513,0.049068461152011605,35,RNDRUSDT,ARUSDT
True,0.0,-5.710884038160742,-3.37230785467128,0.14252836305182584,35,AUDIOUSDT,LDOUSDT
True,0.003,-4.240797657069887,-3.3670063137294513,42.60694615713409,35,CREAMUSDT,AGLDUSDT
True,0.004,-4.146209011691554,-3.3670063137294513,0.18056110101424144,35,ALPHAUSDT,MINAUSDT
True,0.03,-3.5289719307063723,-3.3670063137294513,0.23906932558359717,35,ASTRUSDT,OCEANUSDT
True,0.033,-3.495486500506356,-3.3670063137294513,1.391732867520206,35,AAVEUSDT,ZECUSDT
True,0.009,-3.9308971813196627,-3.3670063137294513,0.023523754671514685,35,1000BTTUSDT,ARPAUSDT
True,0.0,-4.85998172589506,-3.3670063137294513,4.990089310132645,34,ALPHAUSDT,VETUSDT
True,0.003,-4.246072929882333,-3.3670063137294513,5.810108576868409e-06,34,ALPHAUSDT,BTCUSDT
True,0.001,-4.623108313332551,-3.3670063137294513,4.296081572755836,34,ALPHAUSDT,JSTUSDT
True,0.014,-3.797805920093728,-3.3670063137294513,8.925527458211349,34,AAVEUSDT,NEOUSDT
True,0.036,-3.4585977360110074,-3.3670063137294513,93.4469431800231,33,RNDRUSDT,10000NFTUSDT
True,0.0,-4.8281932268419805,-3.3670063137294513,14.67793815376404,33,ALPHAUSDT,LINAUSDT
True,0.002,-4.314958168537587,-3.3670063137294513,3332.8351513317316,33,AAVEUSDT,VETUSDT
True,0.009,-3.9434261112407443,-3.3670063137294513,1.592992225872988e-05,32,1000BTTUSDT,BSVUSDT
True,0.0,-5.528916821806628,-3.3670063137294513,1510.167878120135,32,AVAXUSDT,ACHUSDT
True,0.012,-3.8273612185479124,-3.3670063137294513,2734.271707990643,32,AAVEUSDT,IOTXUSDT
True,0.013,-3.802443389709759,-3.3670063137294513,0.3785594602980411,32,AUDIOUSDT,GMTUSDT
True,0.0,-4.984622078272704,-3.3670063137294513,0.013414684320903128,31,1000BTTUSDT,HBARUSDT
True,0.016,-3.74328379210281,-3.3670063137294513,0.005774255469918173,31,1000BTTUSDT,CTSIUSDT
True,0.038,-3.4378136047006036,-3.3670063137294513,1907.7864379021364,31,AAVEUSDT,XEMUSDT
True,0.0,-5.457939143601344,-3.3670063137294513,644.3556563636475,31,AAVEUSDT,DUSKUSDT
True,0.005,-4.110988875360363,-3.3670063137294513,32.93524802301657,31,RSS3USDT,AKROUSDT
True,0.001,-4.551964235946358,-3.3670063137294513,0.00012130663474249489,31,1000BTTUSDT,DOTUSDT
True,0.008,-3.9860669500886843,-3.3670063137294513,1298.4150799242595,31,COMPUSDT,1000XECUSDT
True,0.021,-3.660173862765052,-3.3670063137294513,3.665980427734543,31,AUDIOUSDT,FITFIUSDT
True,0.034,-3.4809810113292246,-3.3670063137294513,0.024004135303649563,30,AKROUSDT,CHRUSDT
True,0.042,-3.4044319528935234,-3.3670063137294513,351.57235812766083,30,AAVEUSDT,KLAYUSDT
True,0.039,-3.4298270443987104,-3.3670063137294513,17.857237241745686,30,BCHUSDT,UNIUSDT
True,0.003,-4.2899837185534135,-3.3879571944071745,2.1462918590029436,30,GMTUSDT,1000LUNCUSDT
True,0.016,-3.740623299993458,-3.3670063137294513,0.9648045428224848,30,ALPHAUSDT,DUSKUSDT
True,0.0,-4.7591504922379375,-3.3670063137294513,26.45049239350374,29,AAVEUSDT,QTUMUSDT
True,0.022,-3.629940079092192,-3.3670063137294513,29.7356609178646,29,AVAXUSDT,1INCHUSDT
True,0.04,-3.424788931449008,-3.367163129272523,529.3745908065767,29,BALUSDT,SHIB1000USDT
True,0.014,-3.7895821203533746,-3.3670063137294513,0.7852934428079946,29,DGBUSDT,ACHUSDT
True,0.0,-4.894997121297173,-3.3670063137294513,6387.099026531347,29,AAVEUSDT,ACHUSDT
True,0.0,-4.834543377190661,-3.3670063137294513,1.9155281852954602,29,ALPHAUSDT,HBARUSDT
True,0.025,-3.5965353198294006,-3.3670063137294513,11160.966196357243,29,AAVEUSDT,STMXUSDT
True,0.006,-4.060129036528218,-3.3670063137294513,55.44019810325297,29,UNIUSDT,ALPHAUSDT
True,0.002,-4.385195887233323,-3.3670063137294513,67.89123265418273,29,XNOUSDT,ACHUSDT
True,0.0,-8.151143865316799,-3.3670063137294513,0.4589490784973899,29,CTCUSDT,CTKUSDT
True,0.001,-4.542224172748454,-3.3670063137294513,873.8391385755391,28,BCHUSDT,DODOUSDT
True,0.026,-3.572685321217016,-3.3670063137294513,0.004920684167235412,28,AKROUSDT,CELOUSDT
True,0.001,-4.62567479914328,-3.3670063137294513,0.007226553212167943,28,AKROUSDT,GLMRUSDT
True,0.01,-3.8937063098770595,-3.3670063137294513,115.18821941842158,28,XTZUSDT,ACHUSDT
True,0.003,-4.245329490251035,-3.3670063137294513,2.876623468100085,28,ALGOUSDT,XLMUSDT
True,0.024,-3.6104666771059404,-3.3670063137294513,3.257847726383233,28,ALGOUSDT,COTIUSDT
True,0.001,-4.502175270247694,-3.3670063137294513,0.050141442629682495,28,ASTRUSDT,LITUSDT
