,hot,pvalue,cointegration_value,critical_value,hedge_ratio,zero_crossings,symbol1,symbol2
20,True,0.0,-5.628844465192983,-3.3670063137294513,0.006776976493005955,35,10000NFTUSDT,XNOUSDT
0,True,0.043,-3.3933943514304126,-3.3670063137294513,8.12786907210262e-05,20,10000NFTUSDT,AAVEUSDT
12,True,0.002,-4.389305530603454,-3.3670063137294513,0.0011021611950825245,17,10000NFTUSDT,ICPUSDT
18,True,0.0,-5.114841387648651,-3.3670063137294513,0.35691829486214177,16,10000NFTUSDT,TLMUSDT
11,True,0.015,-3.7616032644784365,-3.3670063137294513,3.0313709809818112,15,10000NFTUSDT,HOTUSDT
14,True,0.002,-4.406891103072495,-3.3670063137294513,0.009736386895779568,11,10000NFTUSDT,MINAUSDT
2,True,0.019,-3.685738773541532,-3.3670063137294513,0.026064594743226432,11,10000NFTUSDT,BOBAUSDT
10,True,0.0,-5.317695523109892,-3.3670063137294513,0.00010246880249462684,11,10000NFTUSDT,GMXUSDT
7,True,0.0,-6.698206928661614,-3.3670063137294513,0.0063135831487984625,10,10000NFTUSDT,FLOWUSDT
3,True,0.014,-3.7887375554517795,-3.3670063137294513,0.02708008729908316,10,10000NFTUSDT,C98USDT
6,True,0.0,-7.745450495308742,-3.3670063137294513,0.04514794705693987,9,10000NFTUSDT,DODOUSDT
1,True,0.0,-4.858925023087388,-3.3670063137294513,0.0008210542950660054,9,10000NFTUSDT,BALUSDT
15,True,0.041,-3.4148218444221308,-3.3670063137294513,0.21357271487337476,8,10000NFTUSDT,PEOPLEUSDT
22,True,0.0,-5.533167261328505,-3.3670063137294513,0.0282785387128521,8,10000NFTUSDT,ZRXUSDT
5,True,0.0,-7.156002322106857,-3.3670063137294513,0.04225412078581184,7,10000NFTUSDT,CHZUSDT
8,True,0.0,-4.737434202591784,-3.3670063137294513,0.012881602197380377,6,10000NFTUSDT,GLMRUSDT
21,True,0.019,-3.692101331039526,-3.3670063137294513,0.012591523001694147,6,10000NFTUSDT,XRPUSDT
16,True,0.009,-3.9304123152270116,-3.3670063137294513,0.01117860164613737,5,10000NFTUSDT,SFPUSDT
9,True,0.0,-6.333029721865945,-3.3670063137294513,0.017267943862682118,5,10000NFTUSDT,GMTUSDT
13,True,0.0,-6.013407247183074,-3.3670063137294513,0.0009075799132490824,3,10000NFTUSDT,LPTUSDT
4,True,0.0,-5.152246002618516,-3.3670063137294513,0.009350873442500294,3,10000NFTUSDT,CELUSDT
17,True,0.001,-4.523882494778592,-3.3670063137294513,0.615104490985795,1,10000NFTUSDT,SHIB1000USDT
19,True,0.04,-3.4226088502376837,-3.3670063137294513,0.0031462059293048887,1,10000NFTUSDT,WAVESUSDT
