hot,pvalue,cointegration_value,critical_value,hedge_ratio,zero_crossings,symbol1,symbol2
True,0.0,-5.308931633592082,-3.3670063137294513,90.41991504504297,47,AGLDUSDT,AKROUSDT
True,0.031,-3.518044935179195,-3.3670063137294513,4.719990763863967,44,JSTUSDT,10000NFTUSDT
True,0.0,-6.636072626067536,-3.3670063137294513,0.09171135849591872,44,1INCHUSDT,DOTUSDT
True,0.011,-3.8817563096519545,-3.3670063137294513,0.007534074403849611,41,1000BTTUSDT,REQUSDT
True,0.001,-4.712284045010765,-3.3670063137294513,0.0303558333237104,41,ANTUSDT,LTCUSDT
True,0.022,-3.639039219013405,-3.3670063137294513,0.23967923913288672,39,ASTRUSDT,OCEANUSDT
True,0.0,-5.753261847888223,-3.3670063137294513,2.1842266888160142,37,AGLDUSDT,CHRUSDT
True,0.007,-3.9872946878710556,-3.3670063137294513,0.023556446451965803,37,1000BTTUSDT,ARPAUSDT
True,0.013,-3.8086032812484123,-3.3670063137294513,0.0011119603065198002,37,RSS3USDT,BCHUSDT
True,0.008,-3.964061995038092,-3.3670063137294513,0.1645403498849474,36,HOTUSDT,ACHUSDT
True,0.002,-4.404778695317542,-3.3670063137294513,62630.947017428414,36,BSVUSDT,1000BTTUSDT
True,0.006,-4.058310976790653,-3.3670063137294513,42.69841676854756,35,CREAMUSDT,AGLDUSDT
True,0.012,-3.837992840142644,-3.3670063137294513,0.7841918717891754,35,DGBUSDT,ACHUSDT
True,0.005,-4.089971820244811,-3.3670063137294513,0.3619054246736183,35,1INCHUSDT,OMGUSDT
True,0.01,-3.8977562724114176,-3.3670063137294513,8.897752035956122,34,AAVEUSDT,NEOUSDT
True,0.0,-5.186515921675136,-3.3670063137294513,1.2632199729997475,33,AGLDUSDT,BSWUSDT
True,0.036,-3.4635951712982425,-3.3670063137294513,0.003630087463231523,33,1000BTTUSDT,ONTUSDT
True,0.034,-3.4810129929499194,-3.3670063137294513,7.418797523991534,33,1INCHUSDT,BLZUSDT
True,0.002,-4.42772071465172,-3.3670063137294513,1.3840382332474486,32,AAVEUSDT,ZECUSDT
True,0.001,-4.525083983025532,-3.3670063137294513,50.62861223491991,32,1INCHUSDT,ACHUSDT
True,0.006,-4.051997648521826,-3.3670063137294513,0.16137619382999943,32,RSS3USDT,CELOUSDT
True,0.022,-3.635431116977007,-3.3670063137294513,171.2961065783028,32,1INCHUSDT,SCUSDT
True,0.025,-3.5915175424082655,-3.3670063137294513,3.259256558056905,32,ALGOUSDT,COTIUSDT
