hot,pvalue,cointegration_value,critical_value,hedge_ratio,zero_crossings,symbol1,symbol2
True,0.007,-3.9899616418036876,-3.3670063137294513,0.002553496234307244,47,ADAUSDT,BCHUSDT
True,0.002,-4.358624518776586,-3.3670063137294513,0.3744715761545374,46,ASTRUSDT,CTSIUSDT
True,0.005,-4.118490389917567,-3.3670063137294513,8.782230714925864,41,JSTUSDT,SCUSDT
True,0.03,-3.5264556462530834,-3.3670063137294513,75.90636484771827,41,ENSUSDT,ICXUSDT
True,0.005,-4.09362740302492,-3.3670063137294513,2347.0928694567842,41,BNBUSDT,RSS3USDT
True,0.002,-4.390653979196687,-3.3670063137294513,0.3010175444479422,40,ASTRUSDT,BAKEUSDT
True,0.007,-4.028840308042956,-3.3670063137294513,613.2154452529209,38,AXSUSDT,ONEUSDT
True,0.004,-4.181127055876208,-3.3670063137294513,0.03385591331437174,37,BANDUSDT,BSVUSDT
True,0.001,-4.463238176317707,-3.3670063137294513,0.007275167459077028,36,1000BTTUSDT,REQUSDT
True,0.003,-4.229382589914001,-3.3670063137294513,1.476650855146871,36,ASTRUSDT,ARPAUSDT
True,0.005,-4.0968343116868775,-3.3670063137294513,0.00621724591949,36,ASTRUSDT,NEOUSDT
True,0.034,-3.477414703797289,-3.3670063137294513,9.127116075827441,36,XLMUSDT,ACHUSDT
True,0.013,-3.815088086291617,-3.3670063137294513,0.1852127031387992,35,XLMUSDT,BELUSDT
True,0.0,-5.607748033653804,-3.3670063137294513,0.006777242285860481,35,10000NFTUSDT,XNOUSDT
True,0.019,-3.686729908828608,-3.3670063137294513,49.277197224743844,35,BELUSDT,ACHUSDT
True,0.002,-4.420892680279373,-3.3670063137294513,3.7469339492520345e-08,35,1000BTTUSDT,BTCUSDT
True,0.038,-3.4399356333144007,-3.3670063137294513,0.25484569640084764,35,RVNUSDT,CEEKUSDT
True,0.027,-3.5634363238027507,-3.3670063137294513,0.043580729224757156,34,QTUMUSDT,DASHUSDT
True,0.009,-3.9159498124869243,-3.3670063137294513,0.8277264610535755,34,FILUSDT,APEUSDT
True,0.02,-3.665384965544053,-3.3670063137294513,311.9972756885002,34,ENSUSDT,ROSEUSDT
True,0.015,-3.7665115194438035,-3.3670063137294513,41.67631140453262,34,ENSUSDT,TOMOUSDT
True,0.001,-4.586140822167348,-3.3670063137294513,47333.654973614786,34,BNBUSDT,SUNUSDT
True,0.029,-3.541226112385395,-3.3670063137294513,7595.632583110721,33,EGLDUSDT,10000NFTUSDT
True,0.009,-3.9250539979453842,-3.3670063137294513,0.037673499120592986,33,ASTRUSDT,OMGUSDT
True,0.023,-3.629517787587444,-3.3670063137294513,0.2669800246601222,33,ADAUSDT,SUSHIUSDT
True,0.01,-3.9006463649347483,-3.3670063137294513,0.6618199767410112,33,OCEANUSDT,ADAUSDT
True,0.033,-3.488912607667981,-3.3670063137294513,1.9400390711131998,33,JSTUSDT,SWEATUSDT
True,0.012,-3.849460001702519,-3.3670063137294513,2.7098878651333345,33,ALICEUSDT,BELUSDT
True,0.008,-3.9691369252607878,-3.3670063137294513,0.23371941493580894,33,JSTUSDT,REQUSDT
True,0.004,-4.167742949278108,-3.3670063137294513,10.466652562699348,33,ENSUSDT,GALUSDT
True,0.005,-4.085181734540936,-3.3670063137294513,628.2970294860007,33,BELUSDT,1000BTTUSDT
True,0.023,-3.6177342708411087,-3.3670063137294513,0.07415211944671764,33,JSTUSDT,BICOUSDT
True,0.009,-3.9412332894821596,-3.3670063137294513,8.475216349399773,33,AVAXUSDT,RUNEUSDT
True,0.014,-3.7796630443722146,-3.3670063137294513,2.519786267569629,32,JSTUSDT,ACHUSDT
True,0.046,-3.371186506552792,-3.3670063137294513,0.047625447254093595,31,ADAUSDT,BALUSDT
True,0.04,-3.4255784167953554,-3.3670063137294513,0.0074822245290308365,31,ASTRUSDT,UNIUSDT
True,0.005,-4.13865899953417,-3.3670063137294513,0.01805537721994628,31,RVNUSDT,GALUSDT
True,0.014,-3.798718088236269,-3.3670063137294513,1.2272341508602869,31,ADAUSDT,SXPUSDT
True,0.023,-3.6250153855496667,-3.3670063137294513,4.970416415869023,30,ADAUSDT,BLZUSDT
True,0.019,-3.6936881890307918,-3.3670063137294513,0.031038376420754254,30,JSTUSDT,XNOUSDT
True,0.019,-3.6905517391130416,-3.3670063137294513,0.006479246580662924,30,ADAUSDT,ILVUSDT
